228,124
360,270
365,236
369,140
353,117
348,117
344,122
313,129
268,130
132,123
88,119
44,119
44,119
44,119
44,119
44,119
12,108
232,115
253,115
244,122
255,131
255,131
257,132
270,182
304,330
314,363
310,358
311,371
305,337
312,365
312,365
312,365
312,365
312,365
312,365
312,365
312,365
312,365
269,392
274,266
257,149
349,99
348,83
348,81
298,83
295,95
296,108
298,130
354,175
411,201
479,223
475,239
504,215
507,212
505,206
499,209
454,203
426,200
319,191
242,186
164,189
100,187
78,141
64,138
66,141
70,139
121,184
213,206
263,223
288,239
322,257
332,276
348,307
344,311
340,311
340,311
340,311
340,311
340,311
340,311
340,311
340,311
340,311
340,311
340,311
340,311
340,311
340,311
340,311
